group,replicate,fastq_1,fastq_2,antibody,control
eGFP-NR4A1,2,fastq/BIGlebowski/ENCFF760LCQ.fastq.gz,fastq/BIGlebowski/ENCFF681PIN.fastq.gz,NR4A1,eGFP-NR4A1_input_control
eGFP-NR4A1_input_control,1,fastq/BIGlebowski/ENCFF236YCR.fastq.gz,fastq/BIGlebowski/ENCFF113QAJ.fastq.gz,,
eGFP-PBX2,1,fastq/BIGlebowski/ENCFF176RUD.fastq.gz,fastq/BIGlebowski/ENCFF793URQ.fastq.gz,PBX2,eGFP-PBX2_input_control
eGFP-PBX2,2,fastq/BIGlebowski/ENCFF932THV.fastq.gz,fastq/BIGlebowski/ENCFF410UIX.fastq.gz,PBX2,eGFP-PBX2_input_control
eGFP-PBX2_input_control,1,fastq/BIGlebowski/ENCFF417ORB.fastq.gz,fastq/BIGlebowski/ENCFF839JCV.fastq.gz,,
eGFP-POLR2H,1,fastq/BIGlebowski/ENCFF613UAT.fastq.gz,fastq/BIGlebowski/ENCFF618IBA.fastq.gz,POLR2H,eGFP-POLR2H_input_control
eGFP-POLR2H,2,fastq/BIGlebowski/ENCFF022SAF.fastq.gz,fastq/BIGlebowski/ENCFF446YHR.fastq.gz,POLR2H,eGFP-POLR2H_input_control
eGFP-POLR2H,2,fastq/BIGlebowski/ENCFF524UOO.fastq.gz,fastq/BIGlebowski/ENCFF277ZND.fastq.gz,POLR2H,eGFP-POLR2H_input_control
eGFP-POLR2H_input_control,1,fastq/BIGlebowski/ENCFF096LLU.fastq.gz,fastq/BIGlebowski/ENCFF026HSI.fastq.gz,,
eGFP-PTRF,1,fastq/BIGlebowski/ENCFF474LQU.fastq.gz,fastq/BIGlebowski/ENCFF532XZW.fastq.gz,PTRF,eGFP-PTRF_input_control
eGFP-PTRF,2,fastq/BIGlebowski/ENCFF141RCB.fastq.gz,fastq/BIGlebowski/ENCFF781WSM.fastq.gz,PTRF,eGFP-PTRF_input_control
eGFP-PTRF_input_control,1,fastq/BIGlebowski/ENCFF931LWJ.fastq.gz,fastq/BIGlebowski/ENCFF928HTI.fastq.gz,,
eGFP-PTTG1,1,fastq/BIGlebowski/ENCFF349DXW.fastq.gz,fastq/BIGlebowski/ENCFF660MJG.fastq.gz,PTTG1,eGFP-PTTG1_input_control
eGFP-PTTG1,2,fastq/BIGlebowski/ENCFF529BRM.fastq.gz,fastq/BIGlebowski/ENCFF277CCO.fastq.gz,PTTG1,eGFP-PTTG1_input_control
eGFP-PTTG1_input_control,1,fastq/BIGlebowski/ENCFF760WPA.fastq.gz,fastq/BIGlebowski/ENCFF950USL.fastq.gz,,
eGFP-PYGO2,1,fastq/BIGlebowski/ENCFF315YLZ.fastq.gz,fastq/BIGlebowski/ENCFF649JEY.fastq.gz,PYGO2,eGFP-PYGO2_input_control
